unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
adjacent_find_p, 0, 0, 6, 0, 0, 0, 0, 1, 1, 
count_p, 0, 0, 2, 0, 0, 0, 0, 0, 1, 
equal_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
find_end_p, 0, 0, 15, 9, 0, 12, 0, 1, 13, 
find_first_of_p, 0, 0, 5, 0, 0, 0, 0, 3, 1, 
find_p, 0, 0, 1, 0, 0, 0, 0, 0, 1, 
mismatch_p, 0, 17, 18, 0, 0, 0, 0, 0, 1, 
naive_find_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
search_n_p, 0, 0, 13, 0, 0, 0, 0, 0, 0, 
search_p, 0, 0, 2, 0, 1, 1, 0, 0, 1, 
search_with_ghost_p, 0, 0, 4, 0, 0, 1, 0, 0, 4, 
search_wo_ghost_p, 0, 0, 2, 0, 0, 0, 0, 0, 1, 
total, 0, 17, 18, 9, 1, 12, 0, 3, 13, 

, 2018, 2019, 2020, 
z3, 0, 9, 0, 
cvc4, 17, 1, 3, 
altergo, 18, 12, 13, 
