unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
adjacent_find_p, 0, 1, 3, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
count_p, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
equal_p, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
find_end_p, 0, 1, 4, 0, 1, 0, 0, 2, 3, 0, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 
find_first_of_p, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
find_p, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
mismatch_p, 0, 1, 3, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
naive_find_p, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 
search_n_p, 0, 1, 4, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
search_p, 0, 3, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
search_with_ghost_p, 1, 3, 4, 1, 3, 1, 1, 3, 3, 0, 3, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 
search_wo_ghost_p, 2, 3, 2, 2, 2, 2, 2, 3, 3, 0, 3, 0, 0, 0, 2, 3, 0, 2, 0, 0, 0, 
total, 5, 16, 30, 5, 13, 5, 5, 13, 19, 3, 11, 3, 2, 2, 8, 16, 3, 8, 3, 2, 2, 

, 2018, 2019, 2020, 
z3, 5, 13, 8, 
cvc4, 16, 19, 16, 
altergo, 30, 3, 3, 
z3+cvc4, 5, 11, 8, 
cvc4+altergo, 13, 3, 3, 
altergo+z3, 5, 2, 2, 
all, 5, 2, 2, 
